review_id,customer_id,product_id,rating,review_text,review_date
1,403,157,1,Great deal and excellent brand.,2023-03-18
2,24,132,2,"Not what I expected, but customer service helped.",2024-08-09
3,378,163,5,Loved the quality and fast shipping!,2023-08-07
4,383,115,5,"Packaging could be improved, but product is great.",2021-04-28
5,277,149,3,Loved the quality and fast shipping!,2024-06-14
6,417,168,4,Five stars! Will buy again.,2022-09-04
7,356,92,3,Product met my expectations.,2021-01-11
8,159,144,3,Decent value for the price.,2023-04-04
9,341,1,3,Loved the quality and fast shipping!,2021-07-27
10,259,195,4,"Packaging could be improved, but product is great.",2022-02-09
11,282,29,1,Exactly as described.,2023-11-20
12,292,119,2,Solid performance so far.,2021-09-11
13,393,79,4,Loved the quality and fast shipping!,2021-11-15
14,285,173,3,Would definitely recommend to friends.,2023-08-22
15,457,27,4,Five stars! Will buy again.,2022-09-05
16,88,110,3,Solid performance so far.,2022-01-09
17,235,164,5,"Not what I expected, but customer service helped.",2021-08-11
18,221,154,4,"Packaging could be improved, but product is great.",2021-11-28
19,359,176,2,Five stars! Will buy again.,2025-03-11
20,457,185,4,Loved the quality and fast shipping!,2023-01-06
21,202,131,2,Product met my expectations.,2022-01-24
22,332,155,3,Loved the quality and fast shipping!,2021-10-01
23,143,172,4,Solid performance so far.,2025-03-04
24,385,4,3,Loved the quality and fast shipping!,2021-11-25
25,295,91,2,"Packaging could be improved, but product is great.",2024-09-24
26,216,186,3,Product met my expectations.,2023-05-13
27,324,152,4,Exactly as described.,2023-10-12
28,252,151,2,Five stars! Will buy again.,2025-03-19
29,499,51,4,Exactly as described.,2025-01-26
30,495,137,4,Decent value for the price.,2021-08-13
31,271,129,1,Loved the quality and fast shipping!,2021-09-16
32,246,23,2,Five stars! Will buy again.,2023-10-22
33,145,6,1,Would definitely recommend to friends.,2021-04-17
34,412,183,3,Solid performance so far.,2024-05-07
35,90,161,1,Solid performance so far.,2023-09-11
36,394,9,3,"Not what I expected, but customer service helped.",2023-09-23
37,133,69,1,Solid performance so far.,2022-05-23
38,44,71,5,Decent value for the price.,2025-02-02
39,203,3,5,Decent value for the price.,2022-05-26
40,450,109,3,Product met my expectations.,2025-11-05
41,327,139,3,Would definitely recommend to friends.,2024-09-26
42,298,77,4,Would definitely recommend to friends.,2023-08-29
43,11,70,1,Exactly as described.,2024-06-05
44,450,68,2,Would definitely recommend to friends.,2025-10-17
45,392,33,5,Decent value for the price.,2022-04-15
46,73,105,1,Decent value for the price.,2023-04-02
47,347,79,1,"Not what I expected, but customer service helped.",2022-01-29
48,219,127,2,Solid performance so far.,2021-02-06
49,128,182,5,Would definitely recommend to friends.,2021-07-06
50,304,32,1,Solid performance so far.,2023-04-15
51,36,127,5,"Not what I expected, but customer service helped.",2024-12-04
52,136,6,2,Would definitely recommend to friends.,2022-11-20
53,311,68,4,"Packaging could be improved, but product is great.",2021-05-06
54,124,167,5,Solid performance so far.,2024-08-11
55,29,1,1,"Not what I expected, but customer service helped.",2021-08-14
56,261,33,3,Five stars! Will buy again.,2022-07-29
57,396,177,3,Solid performance so far.,2022-05-21
58,75,130,3,Loved the quality and fast shipping!,2022-01-08
59,70,73,1,Loved the quality and fast shipping!,2021-04-17
60,437,137,3,Would definitely recommend to friends.,2022-08-08
61,187,155,4,"Not what I expected, but customer service helped.",2024-05-27
62,316,7,1,Solid performance so far.,2022-01-14
63,59,98,3,"Packaging could be improved, but product is great.",2023-01-15
64,418,170,3,"Not what I expected, but customer service helped.",2021-08-17
65,146,121,1,Loved the quality and fast shipping!,2024-10-30
66,451,131,5,Decent value for the price.,2022-11-10
67,107,195,3,Five stars! Will buy again.,2025-03-02
68,284,92,5,Exactly as described.,2024-05-23
69,45,59,3,Would definitely recommend to friends.,2024-08-24
70,345,108,3,Would definitely recommend to friends.,2024-04-11
71,271,95,4,Product met my expectations.,2021-08-06
72,219,147,2,Great deal and excellent brand.,2021-09-04
73,331,93,1,Great deal and excellent brand.,2024-09-02
74,65,44,2,Would definitely recommend to friends.,2024-12-14
75,495,104,4,Product met my expectations.,2021-06-03
76,39,180,5,Great deal and excellent brand.,2022-12-04
77,233,177,3,"Packaging could be improved, but product is great.",2025-04-08
78,389,89,2,Exactly as described.,2025-01-16
79,422,64,2,Loved the quality and fast shipping!,2021-09-19
80,208,70,2,Solid performance so far.,2024-02-02
81,117,48,3,Exactly as described.,2022-12-13
82,91,148,3,"Packaging could be improved, but product is great.",2024-07-13
83,477,169,1,Solid performance so far.,2021-05-19
84,120,27,4,Solid performance so far.,2023-12-09
85,206,149,5,Loved the quality and fast shipping!,2021-12-08
86,128,92,5,"Not what I expected, but customer service helped.",2024-11-27
87,355,186,2,"Not what I expected, but customer service helped.",2021-04-04
88,65,137,5,Loved the quality and fast shipping!,2025-06-15
89,42,10,2,Solid performance so far.,2023-10-11
90,45,68,5,Exactly as described.,2021-06-03
91,152,114,2,"Packaging could be improved, but product is great.",2025-03-18
92,486,50,5,Solid performance so far.,2024-02-26
93,320,16,4,Solid performance so far.,2024-05-28
94,349,135,3,Would definitely recommend to friends.,2022-01-12
95,461,62,1,Decent value for the price.,2024-03-17
96,253,169,2,Great deal and excellent brand.,2024-11-27
97,206,49,1,Exactly as described.,2023-07-22
98,462,56,5,Exactly as described.,2022-06-15
99,378,31,3,Would definitely recommend to friends.,2022-08-30
100,271,24,3,Exactly as described.,2021-09-01
101,252,46,2,Would definitely recommend to friends.,2021-04-04
102,302,178,5,Would definitely recommend to friends.,2022-08-21
103,107,6,1,Decent value for the price.,2022-07-23
104,222,14,2,"Not what I expected, but customer service helped.",2025-06-08
105,29,195,1,Would definitely recommend to friends.,2025-08-14
106,120,22,2,Exactly as described.,2021-08-26
107,438,80,1,Five stars! Will buy again.,2024-07-19
